========================================================================
ERROR BREAKDOWN (percentages of the total):
    model      config test_set  empty  prompt_echo  truncation_suspect  syntax_error  error_total  valid
 DeepSeek  sft_ppo    composite      dpo  200       13.5          1.0          156.0        145.2
 DeepSeek  sft_ppo    composite      ppo 2400        4.2          0.9          188.0        175.5
 DeepSeek  sft_ppo quality_only      dpo  200        3.0          0.0          179.5        169.4
 DeepSeek  sft_ppo quality_only      ppo 2400        3.5          0.8          188.0        175.1
QwenCoder      ppo    composite      dpo  200       49.0          0.0          255.0        260.7
QwenCoder      ppo    composite      ppo 2400       15.1          0.5          327.0        322.5
QwenCoder      ppo quality_only      dpo  200       47.0          1.0          253.5        262.3
QwenCoder      ppo quality_only      ppo 2400       20.1          0.8          334.5        336.9
QwenCoder  sft_ppo    composite      dpo  200       23.0          0.5          439.5        426.3
QwenCoder  sft_ppo    composite      ppo 2400       16.4          0.7          445.0        415.9
QwenCoder  sft_ppo quality_only      dpo  200       14.5          0.0          425.0        411.7
QwenCoder  sft_ppo quality_only      ppo 2400       13.8          0.6          444.0        406.6

Mann-Whitney (lengths, quality-only vs composite):
  CodeGPT    ppo      median q-only=   467  median composite=   469  U=3346496  p=0.6006
  CodeGPT    sft_ppo  median q-only=   347  median composite=   331  U=3980726  p=1.259e-31
  CodeGen    ppo      median q-only=   411  median composite=   348  U=3976425  p=2.294e-28
  CodeGen    sft_ppo  median q-only=   253  median composite=   284  U=2911698  p=8.92e-18
  DeepSeek   ppo      median q-only=   127  median composite=   127  U=3128128  p=0.8156
  DeepSeek   sft_ppo  median q-only=   187  median composite=   186  U=3149126  p=0.3571
  QwenCoder  ppo      median q-only=   330  median composite=   323  U=2190653  p=0.5026
  QwenCoder  sft_ppo  median q-only=   442  median composite=   445  U=2377972  p=0.3273
