file,n_rows,model,config,test_set,split
QwenCoder_finetuned_inference_test_insecure_cleaned.jsonl,600,QwenCoder,sft,ppo,insecure
QwenCoder_finetuned_inference_test_secure_cleaned.jsonl,600,QwenCoder,sft,ppo,secure
CodeGPT_sft_dpo_inference_cleaned.jsonl,100,CodeGPT,sft_dpo,dpo,
CodeGPT_sft_dpo_inference_test_insecure_cleaned.jsonl,600,CodeGPT,sft_dpo,ppo,insecure
CodeGPT_sft_dpo_inference_test_secure_cleaned.jsonl,600,CodeGPT,sft_dpo,ppo,secure
CodeGen_sft_dpo_inference_cleaned.jsonl,100,CodeGen,sft_dpo,dpo,
CodeGen_sft_dpo_inference_test_insecure_cleaned.jsonl,600,CodeGen,sft_dpo,ppo,insecure
CodeGen_sft_dpo_inference_test_secure_cleaned.jsonl,600,CodeGen,sft_dpo,ppo,secure
DeepSeek_sft_dpo_inference_cleaned.jsonl,100,DeepSeek,sft_dpo,dpo,
DeepSeek_sft_dpo_inference_test_insecure_cleaned.jsonl,600,DeepSeek,sft_dpo,ppo,insecure
DeepSeek_sft_dpo_inference_test_secure_cleaned.jsonl,600,DeepSeek,sft_dpo,ppo,secure
QwenCoder_sft_dpo_inference_cleaned.jsonl,100,QwenCoder,sft_dpo,dpo,
QwenCoder_sft_dpo_inference_test_insecure_cleaned.jsonl,600,QwenCoder,sft_dpo,ppo,insecure
QwenCoder_sft_dpo_inference_test_secure_cleaned.jsonl,600,QwenCoder,sft_dpo,ppo,secure
CodeGPT_sft_ppo_inference_custom_pylint_cleaned.jsonl,100,CodeGPT,sft_ppo_Rcp,dpo,
CodeGPT_sft_ppo_inference_custom_semgrep_cleaned.jsonl,100,CodeGPT,sft_ppo_Rcs,dpo,
CodeGPT_sft_ppo_inference_pylint_cleaned.jsonl,100,CodeGPT,sft_ppo_Rp,dpo,
CodeGPT_sft_ppo_inference_semgrep_cleaned.jsonl,100,CodeGPT,sft_ppo_Rs,dpo,
CodeGPT_sft_ppo_inference_test_insecure_custom_pylint_cleaned.jsonl,600,CodeGPT,sft_ppo_Rcp,ppo,insecure
CodeGPT_sft_ppo_inference_test_insecure_custom_semgrep_cleaned.jsonl,600,CodeGPT,sft_ppo_Rcs,ppo,insecure
CodeGPT_sft_ppo_inference_test_insecure_pylint_cleaned.jsonl,600,CodeGPT,sft_ppo_Rp,ppo,insecure
CodeGPT_sft_ppo_inference_test_insecure_semgrep_cleaned.jsonl,600,CodeGPT,sft_ppo_Rs,ppo,insecure
CodeGPT_sft_ppo_inference_test_secure_custom_pylint_cleaned.jsonl,600,CodeGPT,sft_ppo_Rcp,ppo,secure
CodeGPT_sft_ppo_inference_test_secure_custom_semgrep_cleaned.jsonl,600,CodeGPT,sft_ppo_Rcs,ppo,secure
CodeGPT_sft_ppo_inference_test_secure_pylint_cleaned.jsonl,600,CodeGPT,sft_ppo_Rp,ppo,secure
CodeGPT_sft_ppo_inference_test_secure_semgrep_cleaned.jsonl,600,CodeGPT,sft_ppo_Rs,ppo,secure
CodeGen_sft_ppo_inference_custom_pylint_cleaned.jsonl,100,CodeGen,sft_ppo_Rcp,dpo,
CodeGen_sft_ppo_inference_custom_semgrep_cleaned.jsonl,100,CodeGen,sft_ppo_Rcs,dpo,
CodeGen_sft_ppo_inference_pylint_cleaned.jsonl,100,CodeGen,sft_ppo_Rp,dpo,
CodeGen_sft_ppo_inference_semgrep_cleaned.jsonl,100,CodeGen,sft_ppo_Rs,dpo,
CodeGen_sft_ppo_inference_test_insecure_custom_pylint_cleaned.jsonl,600,CodeGen,sft_ppo_Rcp,ppo,insecure
CodeGen_sft_ppo_inference_test_insecure_custom_semgrep_cleaned.jsonl,600,CodeGen,sft_ppo_Rcs,ppo,insecure
CodeGen_sft_ppo_inference_test_insecure_pylint_cleaned.jsonl,600,CodeGen,sft_ppo_Rp,ppo,insecure
CodeGen_sft_ppo_inference_test_insecure_semgrep_cleaned.jsonl,600,CodeGen,sft_ppo_Rs,ppo,insecure
CodeGen_sft_ppo_inference_test_secure_custom_pylint_cleaned.jsonl,600,CodeGen,sft_ppo_Rcp,ppo,secure
CodeGen_sft_ppo_inference_test_secure_custom_semgrep_cleaned.jsonl,600,CodeGen,sft_ppo_Rcs,ppo,secure
CodeGen_sft_ppo_inference_test_secure_pylint_cleaned.jsonl,600,CodeGen,sft_ppo_Rp,ppo,secure
CodeGen_sft_ppo_inference_test_secure_semgrep_cleaned.jsonl,600,CodeGen,sft_ppo_Rs,ppo,secure
DeepSeek_sft_ppo_inference_custom_pylint_cleaned.jsonl,100,DeepSeek,sft_ppo_Rcp,dpo,
DeepSeek_sft_ppo_inference_custom_semgrep_cleaned.jsonl,100,DeepSeek,sft_ppo_Rcs,dpo,
DeepSeek_sft_ppo_inference_pylint_cleaned.jsonl,100,DeepSeek,sft_ppo_Rp,dpo,
DeepSeek_sft_ppo_inference_semgrep_cleaned.jsonl,100,DeepSeek,sft_ppo_Rs,dpo,
DeepSeek_sft_ppo_inference_test_insecure_custom_pylint_cleaned.jsonl,600,DeepSeek,sft_ppo_Rcp,ppo,insecure
DeepSeek_sft_ppo_inference_test_insecure_custom_semgrep_cleaned.jsonl,600,DeepSeek,sft_ppo_Rcs,ppo,insecure
DeepSeek_sft_ppo_inference_test_insecure_pylint_cleaned.jsonl,600,DeepSeek,sft_ppo_Rp,ppo,insecure
DeepSeek_sft_ppo_inference_test_insecure_semgrep_cleaned.jsonl,600,DeepSeek,sft_ppo_Rs,ppo,insecure
DeepSeek_sft_ppo_inference_test_secure_custom_pylint_cleaned.jsonl,600,DeepSeek,sft_ppo_Rcp,ppo,secure
DeepSeek_sft_ppo_inference_test_secure_custom_semgrep_cleaned.jsonl,600,DeepSeek,sft_ppo_Rcs,ppo,secure
DeepSeek_sft_ppo_inference_test_secure_pylint_cleaned.jsonl,600,DeepSeek,sft_ppo_Rp,ppo,secure
DeepSeek_sft_ppo_inference_test_secure_semgrep_cleaned.jsonl,600,DeepSeek,sft_ppo_Rs,ppo,secure
QwenCoder_sft_ppo_inference_custom_pylint_cleaned.jsonl,100,QwenCoder,sft_ppo_Rcp,dpo,
QwenCoder_sft_ppo_inference_custom_semgrep_cleaned.jsonl,100,QwenCoder,sft_ppo_Rcs,dpo,
QwenCoder_sft_ppo_inference_pylint_cleaned.jsonl,100,QwenCoder,sft_ppo_Rp,dpo,
QwenCoder_sft_ppo_inference_semgrep_cleaned.jsonl,100,QwenCoder,sft_ppo_Rs,dpo,
QwenCoder_sft_ppo_inference_test_insecure_custom_pylint_cleaned.jsonl,600,QwenCoder,sft_ppo_Rcp,ppo,insecure
QwenCoder_sft_ppo_inference_test_insecure_custom_semgrep_cleaned.jsonl,600,QwenCoder,sft_ppo_Rcs,ppo,insecure
QwenCoder_sft_ppo_inference_test_insecure_pylint_cleaned.jsonl,600,QwenCoder,sft_ppo_Rp,ppo,insecure
QwenCoder_sft_ppo_inference_test_insecure_semgrep_cleaned.jsonl,600,QwenCoder,sft_ppo_Rs,ppo,insecure
QwenCoder_sft_ppo_inference_test_secure_custom_pylint_cleaned.jsonl,600,QwenCoder,sft_ppo_Rcp,ppo,secure
QwenCoder_sft_ppo_inference_test_secure_custom_semgrep_cleaned.jsonl,600,QwenCoder,sft_ppo_Rcs,ppo,secure
QwenCoder_sft_ppo_inference_test_secure_pylint_cleaned.jsonl,600,QwenCoder,sft_ppo_Rp,ppo,secure
QwenCoder_sft_ppo_inference_test_secure_semgrep_cleaned.jsonl,600,QwenCoder,sft_ppo_Rs,ppo,secure
